GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.devpro.shop16 Maven Webapp,beebooks.controller.quantrivien,CategoryProductController,121,15,6,0,28,6,8,1,5,1
com.devpro.shop16 Maven Webapp,beebooks.controller.quantrivien,AddProductController,156,13,4,0,32,5,10,2,8,2
com.devpro.shop16 Maven Webapp,beebooks.controller.quantrivien,AdminOrderController,236,22,10,0,49,8,12,2,7,2
com.devpro.shop16 Maven Webapp,beebooks.controller.quantrivien,BlogController,107,9,4,0,22,4,7,1,5,1
com.devpro.shop16 Maven Webapp,beebooks.controller.quantrivien,ReportController,32,12,0,0,6,5,1,1,1,1
com.devpro.shop16 Maven Webapp,beebooks.controller.quantrivien,CategoryBlogController,103,12,4,0,24,5,7,1,5,1
com.devpro.shop16 Maven Webapp,beebooks.controller.quantrivien,ManufacturerController,115,15,6,0,27,6,8,1,5,1
com.devpro.shop16 Maven Webapp,beebooks.controller.quantrivien,AdminUserController,81,12,6,0,16,5,7,1,4,1
com.devpro.shop16 Maven Webapp,beebooks.controller.quantrivien,AdminController,2,3,0,0,1,1,1,1,1,1
com.devpro.shop16 Maven Webapp,beebooks.controller.quantrivien,PromotionController,115,15,6,0,27,6,8,1,5,1
com.devpro.shop16 Maven Webapp,beebooks.controller.quantrivien,AdminSubcribeController,36,9,0,0,8,4,2,1,2,1
com.devpro.shop16 Maven Webapp,beebooks.controller.quantrivien,AuthorController,115,15,6,0,27,6,8,1,5,1
com.devpro.shop16 Maven Webapp,beebooks.controller.quantrivien,AdminContactController,36,9,0,0,8,4,2,1,2,1
com.devpro.shop16 Maven Webapp,beebooks.service,PagerData,180,10,24,0,3,2,26,3,14,3
com.devpro.shop16 Maven Webapp,beebooks.service,ProductService,58,274,15,31,11,50,12,20,1,8
com.devpro.shop16 Maven Webapp,beebooks.service,UserDetailsServiceImpl,5,3,0,0,1,1,1,1,1,1
com.devpro.shop16 Maven Webapp,beebooks.service,SubcribeService,103,29,1,5,25,7,3,5,2,3
com.devpro.shop16 Maven Webapp,beebooks.service,ProductImageService,2,3,0,0,1,1,1,1,1,1
com.devpro.shop16 Maven Webapp,beebooks.service,SubcribeService.new Authenticator() {...},12,0,0,0,2,0,2,0,2,0
com.devpro.shop16 Maven Webapp,beebooks.service,AuthorService,2,37,2,6,0,9,2,5,0,3
com.devpro.shop16 Maven Webapp,beebooks.service,ManufacturerService,2,37,2,6,0,9,2,5,0,3
com.devpro.shop16 Maven Webapp,beebooks.service,ContactService,0,33,1,5,0,7,1,5,0,3
com.devpro.shop16 Maven Webapp,beebooks.service,BaseService,73,126,2,6,16,32,9,10,7,8
com.devpro.shop16 Maven Webapp,beebooks.service,SaleorderProductsService,0,55,3,11,0,13,3,8,0,4
com.devpro.shop16 Maven Webapp,beebooks.service,RoleService,2,10,0,0,1,3,1,2,1,2
com.devpro.shop16 Maven Webapp,beebooks.service,UserService,2,92,4,10,0,23,4,9,0,6
com.devpro.shop16 Maven Webapp,beebooks.service,SaleorderService,2,35,3,3,0,7,3,3,0,3
com.devpro.shop16 Maven Webapp,beebooks.service,CategoriesService,2,35,2,6,0,9,2,5,0,3
com.devpro.shop16 Maven Webapp,beebooks.service,PromotionService,2,35,2,6,0,9,2,5,0,3
com.devpro.shop16 Maven Webapp,beebooks.service,ContactServiceImpl,0,30,0,4,0,10,0,4,0,2
com.devpro.shop16 Maven Webapp,beebooks.exception,MessageCode,3,0,0,0,1,0,1,0,1,0
com.devpro.shop16 Maven Webapp,beebooks.exception,ServiceErrors,39,0,0,0,6,0,2,0,2,0
com.devpro.shop16 Maven Webapp,beebooks.exception,CustomException,23,0,0,0,7,0,3,0,3,0
com.devpro.shop16 Maven Webapp,beebooks.exception,ServiceError,121,0,22,0,5,0,20,0,9,0
com.devpro.shop16 Maven Webapp,beebooks.Constants,ServiceError,121,0,22,0,5,0,20,0,9,0
com.devpro.shop16 Maven Webapp,beebooks.Constants,MyConstants,3,0,0,0,1,0,1,0,1,0
com.devpro.shop16 Maven Webapp,beebooks.Constants,AuthenticationFacade,25,9,6,0,8,4,4,1,1,1
com.devpro.shop16 Maven Webapp,beebooks.Constants,ServiceErrors,46,0,0,0,7,0,2,0,2,0
com.devpro.shop16 Maven Webapp,beebooks.Constants,ServiceResponse,153,0,22,0,21,0,24,0,13,0
com.devpro.shop16 Maven Webapp,beebooks.conf,SecureConf,0,87,0,0,0,15,0,4,0,4
com.devpro.shop16 Maven Webapp,beebooks.conf,UrlAuthenticationSuccessHandler,88,8,10,0,25,2,9,1,4,1
com.devpro.shop16 Maven Webapp,beebooks.conf,VnpayConfig,321,0,22,0,76,0,19,0,8,0
com.devpro.shop16 Maven Webapp,beebooks.conf,MvcConf,0,83,0,0,0,11,0,3,0,3
com.devpro.shop16 Maven Webapp,beebooks.conf,MailConfig,0,64,0,0,0,15,0,2,0,2
com.devpro.shop16 Maven Webapp,beebooks.components,Utilities,25,0,0,0,7,0,4,0,4,0
com.devpro.shop16 Maven Webapp,beebooks.components,ApplicationStartup,0,10,0,0,0,4,0,2,0,2
com.devpro.shop16 Maven Webapp,beebooks.service.impl,CategoriesBlogService,2,35,2,6,0,9,2,5,0,3
com.devpro.shop16 Maven Webapp,beebooks.service.impl,MailServiceImpl,34,7,0,0,11,2,1,2,1,2
com.devpro.shop16 Maven Webapp,beebooks.service.impl,BlogService,4,300,6,34,1,55,6,22,0,8
com.devpro.shop16 Maven Webapp,beebooks.service.impl,BlogImageService,2,3,0,0,1,1,1,1,1,1
com.devpro.shop16 Maven Webapp,beebooks.controller.khachhang,BlogUIController,49,6,0,0,11,3,2,1,2,1
com.devpro.shop16 Maven Webapp,beebooks.controller.khachhang,CollectionController,48,12,0,0,10,5,2,1,2,1
com.devpro.shop16 Maven Webapp,beebooks.controller.khachhang,HomeController,127,16,2,0,28,6,4,2,3,2
